video 视频
the-charts 排行榜
follow 爱心
home 家
location 位置
laugh 笑脸
cart 购物车
global 全球
up 箭头上
right 箭头右
down 箭头下
left 箭头左
qrcode 二维码
triangle-up 三角上
triangle-right 三角右
triangle-down 三角下
triangle-left 三角左
full-screen 全屏
exit-full-screen 退出全屏
now-play 正在播放
now-pause 暂停
share 分享
voiced 音量最小
no-voiced 静音
chat 聊天
prompt 提示
qq 社交qq
wechat 微信
go 去go
write 写
quick 块
safe 安全
user user
pwd 锁
关闭       close
话术       chat
监控报警   monitor
箭头上     up
箭头下     down
箭头右     right
箭头左     left
客户       customer
日志       log
三角形上   triangle-up
三角形下   triangle-down
三角形右   triangle-right
三角形左   triangle-left
删除       delete
搜索       search
系统       system
用户       user
预览外呼   preview-call
正在播放   now-play
正在暂停   now-pause
自动外呼   auto-call
4s店       4s-shop
前台       reception
问卷调查   question-survey
机器人     robot
满意度调查 satisfy-survey
税务       tax
房地产     real-estate 
找平       recruit
贷款       loan
装修       renovation
股票       shares
律师       lawyer
电信       telecom
添加       add
减去       remove
重置       reset
下载       download
